subject	n_slices	fov_ap_mm	brain_at_ap_edge	ap_margin_mm	brain_ml	brain_centre_ap	label
sub_01	156	132.6000	0.6050	0.0000	1574.0160	119.5000	0
sub_02	111	133.2000	0.4090	0.0000	1384.8510	119.0000	0
sub_03	111	133.2000	0.3787	0.0000	1406.6360	119.0000	0
sub_04	111	133.2000	0.3276	0.0000	1300.1370	119.0000	0
sub_05	111	133.2000	0.2649	0.0000	1336.6440	119.0000	0
sub_06	111	133.2000	0.5489	0.0000	1674.6050	119.0000	0
sub_07	111	133.2000	0.4635	0.0000	1790.8110	119.0000	0
sub_08	156	132.6000	0.5358	0.0000	1572.9380	119.5000	0
sub_09	111	133.2000	0.5502	0.0000	1618.6440	119.0000	0
sub_10	111	133.2000	0.4662	0.0000	1685.0330	119.0000	0
sub_11	111	133.2000	0.3928	0.0000	1699.0720	119.0000	0
sub_12	111	133.2000	0.3454	0.0000	1719.8520	119.0000	0
sub_13	111	133.2000	0.4932	0.0000	1640.6340	119.0000	0
sub_14	111	133.2000	0.4705	0.0000	1500.6920	119.0000	0
sub_15	156	132.6000	0.4379	0.0000	1674.4370	119.5000	0
sub_16	111	133.2000	0.3249	0.0000	1490.7820	119.0000	0
sub_17	111	133.2000	0.2502	0.0000	1476.0500	119.0000	0
sub_18	156	132.6000	0.3968	0.0000	1219.4470	119.5000	0
sub_19	111	133.2000	0.2346	0.0000	1172.0320	119.0000	0
sub_20	111	133.2000	0.3284	0.0000	1635.6540	119.0000	0
sub_21	156	132.6000	0.5693	0.0000	1759.8580	119.5000	0
sub_22	156	132.6000	0.4730	0.0000	1742.1320	119.5000	0
sub_23	156	132.6000	0.6004	0.0000	1601.0450	119.5000	0
sub_24	111	133.2000	0.4044	0.0000	1638.6520	119.0000	0
sub_25	190	133.0000	0.4882	0.0000	1781.4440	119.5000	1
sub_26	111	133.2000	0.3597	0.0000	1300.7320	119.0000	1
sub_27	111	133.2000	0.3850	0.0000	1325.5510	119.0000	1
sub_28	111	133.2000	0.4508	0.0000	1468.5070	119.0000	1
sub_29	111	133.2000	0.5131	0.0000	1530.0800	119.0000	1
sub_30	111	133.2000	0.4791	0.0000	1633.1470	119.0000	1
sub_31	111	133.2000	0.3651	0.0000	1469.6110	119.0000	1
sub_32	190	133.0000	0.1947	0.0000	1100.2740	119.5000	1
sub_33	111	133.2000	0.4550	0.0000	1477.2740	119.0000	1
sub_34	111	133.2000	0.2993	0.0000	1291.5790	119.0000	1
sub_35	111	133.2000	0.3714	0.0000	1503.5790	119.0000	1
sub_36	111	133.2000	0.5508	0.0000	1864.7920	119.0000	1
sub_37	111	133.2000	0.4904	0.0000	1594.9880	119.0000	1
sub_38	111	133.2000	0.4286	0.0000	1642.9250	119.0000	1
sub_39	190	133.0000	0.2880	0.0000	1410.5080	119.5000	1
sub_40	111	133.2000	0.2500	0.0000	1063.9730	119.0000	1
sub_41	111	133.2000	0.3669	0.0000	1536.6000	119.0000	1
sub_42	156	132.6000	0.6910	0.0000	1472.4030	119.5000	1
sub_43	111	133.2000	0.2999	0.0000	1248.4910	119.0000	1
sub_44	156	132.6000	0.3357	0.0000	1288.8650	119.5000	1
sub_45	133	133.0000	0.3949	0.0000	1545.8690	119.0000	1
sub_46	111	133.2000	0.4991	0.0000	1386.3730	119.0000	1
sub_47	177	132.7500	0.2828	0.0000	1522.7270	119.5000	1
sub_48	111	133.2000	0.3751	0.0000	1477.5950	119.0000	1
